Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Value new (USD),Value used (USD),Launch date,Exit date
10220-1,Advanced models,Vehicles,2011,Volkswagen T1 Camper Van,,1334,84.99,119.99,129.99,97.47,5.70202E+12,6.73419E+11,48,37.8,7.1,1.76,136.08,91.66,1/10/2011,31/12/2012
7662-1,Star Wars,Episode I,2007,Trade Federation MTT,21,1330,78.29,99.99,,,,6.73419E+11,65.2,38.4,9.6,2.45,669.52,290.09,1/6/2007,31/12/2008
75105-1,Star Wars,The Force Awakens,2015,Millennium Falcon,7,1329,139.99,149.99,179.99,149.99,5.70202E+12,6.73419E+11,58.1914,37.7952,8.7122,2.313319,150.33,94.57,4/9/2015,31/12/2017
8145-1,Racers,Ferrari,2007,Ferrari 599 GTB Fiorano 1:10,,1327,79.99,109.99,,,5.70201E+12,,65.2,43.2,7.2,,637.89,212.06,1/6/2007,31/07/2008
42064-1,Technic,,2017,Ocean Explorer,,1327,74.99,119.99,149.99,89.99,5.70202E+12,6.73419E+11,54,28.2,9.1,,186.12,129.95,1/1/2017,31/12/2018
9398-1,Technic,,2012,4x4 Crawler,,1327,139.99,199.99,249.99,,5.70201E+12,,58.2,48,9.1,2.8,236.51,137.73,1/8/2012,31/12/2014
21328-1,Ideas,Licensed,2021,Seinfeld,5,1326,69.99,79.99,109.99,79.99,5.70202E+12,6.73419E+11,38.2,26.2,9.4,,68.56,56.55,1/8/2021,31/12/2022
4002021-1,Ninjago,Employee gift,2021,The Temple of Celebrations,12,1320,,,,,,,,,,,252.27,142.88,,
9698-1,Education,FIRST LEGO League Challenge,2009,Smart Move Challenge Kit,,1309,,,,,,,,,,,,240,,
41684-1,Friends,Heartlake City,2021,Heartlake City Grand Hotel,4,1308,89.99,99.99,139.99,99.99,5.70202E+12,,58.2,37.8,8.7,,89.35,,1/6/2021,31/12/2022
9397-1,Technic,,2012,Logging Truck,,1308,99.99,139.99,179.99,,5.70201E+12,,58.2,37.8,8.7,,228.09,104.65,1/3/2012,31/12/2013
4405-1,Creator,Bucket,2003,Large Creator Tub,,1305,,,,,,,,,,,,59.41,,
BL19005-1,Bricklink,AFOL Designer Program,2019,Isle of Peril,,1301,,99.99,,,,,,,,,283.55,,,
70146-1,Legends of Chima,Fire vs. Ice,2014,Flying Phoenix Fire Temple,7,1301,89.99,119.99,139.99,119.99,5.70202E+12,6.73419E+11,58.1914,37.7952,8.7122,2.05,98.46,70.17,1/6/2014,31/12/2015
7191-1,Star Wars,Ultimate Collector Series,2000,X-wing Fighter,1,1300,,150,,,5.70201E+12,,59.2,43.2,7.2,,1119.56,370.75,1/7/2000,28/02/2002
42025-1,Technic,,2014,Cargo Plane,,1297,109.99,139.99,159.99,119.99,5.70202E+12,,58.1914,37.7952,8.7122,2.04,243.6,90.04,1/1/2014,31/12/2015
6753-1,Creator,3 in 1,2009,Highway Transport,,1294,69.99,89.99,119.99,,,6.73419E+11,58.2,37.8,8.71,2.46,180.53,84.71,1/8/2009,31/12/2010
42108-1,Technic,,2020,Mobile Crane,,1292,89.99,99.99,139.99,99.99,5.70202E+12,6.73419E+11,35.4,37.8,11.8,2.01,114.64,75.3,1/1/2020,31/12/2021
4842-1,Harry Potter,General,2010,Hogwarts Castle,11,1290,102.99,129.99,174.99,,5.70201E+12,6.73419E+11,58.19,37.8,8.71,2.14,245.31,96.24,1/10/2010,31/12/2012
10262-1,Creator Expert,Vehicles,2018,James Bond Aston Martin DB5,,1290,129.99,149.99,179.99,149.99,5.70202E+12,,48,28.2,9.1,,179.13,135.01,1/8/2018,31/12/2021
8053-1,Technic,,2010,Mobile Crane,,1289,76.99,99.99,129.99,,,6.73419E+11,58.19,37.8,8.71,2.03,269.95,77.78,1/8/2010,31/12/2011
8070-1,Technic,,2011,Super Car,,1281,99.99,119.99,154.99,,5.70201E+12,,58.2,37.8,8.7,,207.76,106.58,1/3/2011,31/12/2012
8479-1,Technic,,1997,Barcode Multi-Set,,1280,,164,,,,,53.2,38.4,9.6,,599.96,137.03,1/8/1997,31/12/1999
4997-1,Creator,3 in 1,2008,Transport Ferry,,1279,51.85,69.99,,,,6.73419E+11,57.6,38.4,9.6,2.24,192.85,71.67,1/7/2008,31/12/2009
BL19002-1,Bricklink,AFOL Designer Program,2019,Antique Fire Engine,,1278,,149.99,,,,,,,,,297.03,256.87,,
60125-1,City,Volcano Explorers,2016,Volcano Heavy-Lift Helicopter,8,1277,109.99,149.99,179.99,129.99,5.70202E+12,6.73419E+11,58.2,37.8,10.3,,185.88,158.27,1/6/2016,31/12/2017
42008-1,Technic,,2013,Service Truck,,1276,99.99,129.99,149.99,109.99,5.70201E+12,,48.006,37.7952,9.398,1.96,261.89,123.14,1/8/2013,31/12/2015
9788-1,Education,FIRST LEGO League Challenge,2003,Mission Mars Challenge Kit,,1274,,,,,,,,,,,,,,
10277-1,Icons,Trains,2020,Crocodile Locomotive,2,1271,89.99,99.99,149.99,99.99,5.70202E+12,,53.6,27.8,8.7,1.54,123.56,109.89,1/7/2020,31/12/2021
75288-1,Star Wars,Episode V,2020,AT-AT,6,1267,149.99,169.99,209.99,169.99,5.70202E+12,6.73419E+11,58.2,37.8,8.7,1.78,135.94,107.78,1/8/2020,31/12/2023
21326-1,Ideas,Licensed,2021,Winnie the Pooh,5,1265,89.99,99.99,139.99,99.99,5.70202E+12,6.73419E+11,38,26,6.9,1.272,88.33,64.92,1/4/2021,31/12/2023
31109-1,Creator,3 in 1,2020,Pirate Ship,4,1264,114.99,119.99,149.99,129.99,5.70202E+12,6.73419E+11,47.6,37.4,8.8,2.039,87.74,75.64,1/6/2020,31/12/2024
10235-1,Creator Expert,Winter Village Collection,2013,Winter Village Market,9,1261,79.99,99.99,129.99,,5.70201E+12,6.73419E+11,47.5,37.1,6.5,,186.49,196.6,1/10/2013,31/12/2014
70010-1,Legends of Chima,The Power of the CHI,2013,The Lion CHI Temple,7,1258,99.99,119.99,149.99,,5.70201E+12,6.73419E+11,58.2,37.8,8.7,2.07,178.29,76.22,1/6/2013,31/07/2014
7965-1,Star Wars,Episode IV,2011,Millennium Falcon,6,1254,132.99,139.99,179.99,,5.70201E+12,6.73419E+11,58.2,37.8,8.7,2.28,194.11,120.62,1/6/2011,31/12/2014
10497-1,Icons,Space System,2022,Galaxy Explorer,5,1254,89.99,99.99,129.99,99.99,5.70202E+12,,53.8,28,8.7,1.756,96.99,83.96,1/8/2022,31/12/2023
70596-1,Ninjago,Day of the Departed,2016,Samurai X Cave Chaos,8,1253,109.99,119.99,149.99,119.99,5.70202E+12,6.73419E+11,58.2,37.8,10.3,,221.97,124.43,1/6/2016,31/12/2017
70738-1,Ninjago,Possession,2015,Final Flight of Destiny's Bounty,9,1253,99.99,119.99,149.99,119.99,5.70202E+12,6.73419E+11,58.1914,37.7952,8.7122,2.05208,189.57,106.04,1/6/2015,31/12/2016
SAMSONITE-14,Samsonite,Basic set,1971,1252 Piece Motorized Basic Set,,1252,,19.9899,,,,,,,,,,,,
21188-1,Minecraft,Minifig-scale,2022,The Llama Village,6,1252,114.99,129.99,169.99,129.99,5.70202E+12,,48,37.8,9.4,,105.08,,1/6/2022,31/12/2023
41375-1,Friends,Amusement Park,2019,Heartlake City Amusement Pier,7,1251,119.99,129.99,149.99,126.71,5.70202E+12,,58.2,37.8,10.3,,110.28,100,1/5/2019,31/12/2020
60162-1,City,Jungle,2017,Jungle Air Drop Helicopter,7,1250,109.99,149.99,179.99,129.99,5.70202E+12,,58,37.5,10,,182.09,124.35,1/6/2017,31/07/2018
10190-1,Advanced models,Modular Buildings Collection,2007,Market Street,3,1248,59.99,89.99,,,5.70201E+12,,,,,,2440.41,642.42,,
8674-1,Racers,Ferrari,2006,Ferrari F1 Racer 1:8,,1246,99.99,139.99,,,5.70201E+12,,65.2,43.2,7.2,,811.2,293.83,1/6/2006,31/12/2007
76153-1,Marvel Super Heroes,Avengers,2020,Avengers Helicarrier,8,1244,109.99,119.99,159.99,119.99,5.70202E+12,6.73419E+11,48,37.8,9.4,1.65,123.75,93.76,1/6/2020,31/12/2021
SAMSONITE-3,Samsonite,Basic set,1971,1241 Piece Basic Set,,1241,,16.9899,,,,,,,,,,,,
75220-1,Star Wars,Episode IV,2018,Sandcrawler,6,1239,109.99,139.99,159.99,129.99,5.70202E+12,6.73419E+11,48,37.8,9.4,1.77,188.51,138.12,1/8/2018,31/12/2019
10219-1,Advanced models,Trains,2011,Maersk Train,3,1234,91.99,119.99,154.99,,,6.73419E+11,48,37.8,9.4,,482.82,413.19,1/4/2011,31/12/2012
10231-1,Advanced models,Space,2011,Shuttle Expedition,3,1230,81.99,99.99,129.99,,,6.73419E+11,37.8,58.2,8.7,,503.32,218.91,1/5/2011,31/12/2012
60198-1,City,Trains,2018,Cargo Train,6,1226,169.99,229.99,269.99,189.99,5.70202E+12,,57.8,47.6,11.9,3.032,154.09,126.2,1/7/2018,31/12/2024
70728-1,Ninjago,Rebooted,2014,Battle for Ninjago City,8,1223,89.99,119.99,139.99,109.99,5.70202E+12,6.73419E+11,58.1914,37.7952,8.7122,2.19,254.75,152.87,1/6/2014,31/07/2015
76989-1,Icons,Licensed,2022,Horizon Forbidden West: Tallneck,2,1222,79.99,89.99,109.99,89.99,5.70202E+12,,26.2,38.2,9.4,,74.67,75.95,1/5/2022,31/12/2023
42039-1,Technic,,2015,24 Hours Race Car,,1219,99.99,129.99,159.99,99.99,5.70202E+12,,48.006,37.7952,9.398,2.07,157.66,73.99,1/1/2015,31/12/2016
9321-1,Education,,2006,World Transport Services Set,10,1219,,,,,,,,,,,150.34,,,
70678-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,Castle of the Forsaken Emperor,7,1218,89.99,99.99,139.99,97.47,5.70202E+12,,48,37.8,9.4,,141.8,92.64,1/6/2019,31/12/2020
71408-1,Super Mario,Expansion Set,2022,Princess Peach's Castle,5,1216,114.99,129.99,169.99,129.99,5.70202E+12,,48,37.8,9.4,,102.71,,1/8/2022,31/07/2024
75106-1,Star Wars,Rebels,2015,Imperial Assault Carrier,6,1216,99.99,129.99,149.99,129.99,5.70202E+12,6.73419E+11,48.006,37.7952,9.398,1.89772,204.62,167.77,1/6/2015,31/12/2016
10175-1,Star Wars,Ultimate Collector Series,2006,Vader's TIE Advanced,,1212,79.99,99.99,,,5.70201E+12,,57.6,38.4,9.6,,861.64,556.16,1/10/2006,31/12/2008
75574-1,Avatar,Original Film,2022,Toruk Makto & Tree of Souls,4,1212,129.99,149.99,199.99,149.99,5.70202E+12,,48,37.8,7.1,,124.38,,1/10/2022,31/12/2024
76956-1,Jurassic World,Jurassic Park,2022,T. rex Breakout,4,1212,89.99,99.99,129.99,99.99,5.70202E+12,,48,37.8,7.1,,87.73,74.5,17/04/2022,31/12/2023
60200-1,City,Town,2018,Capital City,13,1211,119.99,149.99,179.99,129.99,5.70202E+12,6.73419E+11,57.9,37.5,10,2.422,190.83,4.29,1/6/2018,31/12/2019
21050-1,Architecture,Miscellaneous,2013,Studio,,1210,159.99,159.99,,159.99,5.70202E+12,6.73419E+11,,,,2.72,386.73,228.23,,
4002022-1,Friends,Employee gift,2022,10 Years of Friendship,7,1209,,,,,,,,,,,108.22,,,
9385-1,Education,,2010,Sceneries Set,,1207,,,,,5.70201E+12,,40,30,15.5,,142.51,,1/1/2010,31/12/2020
40502-1,Promotional,LEGO House,2021,The Brick Moulding Machine,,1205,,,,,5.70202E+12,,38.2,26.2,11.8,,147.84,107.75,1/3/2021,31/12/2022
10213-1,Advanced models,Space,2010,Shuttle Adventure,3,1204,81.99,99.99,129.99,,,6.73419E+11,37.8,58.2,8.7,,435,180,1/7/2010,31/12/2010
70173-1,Ultra Agents,,2015,Ultra Agents Ocean HQ,6,1204,,99.99,,,5.70202E+12,,48,37.8,9.4,,316.68,252.5,1/6/2015,31/12/2015
BL19007-1,Bricklink,AFOL Designer Program,2019,Science Tower,2,1204,,129.99,,,,,,,,,275.87,208.21,,
70632-1,The LEGO Ninjago Movie,,2017,Quake Mech,5,1202,79.99,89.99,99.99,79.99,5.70202E+12,,48,37.8,9.4,,130.03,79.54,1/12/2017,31/12/2018
3026-1,Basic,,1998,Limited Edition Silver Brick Tub,,1201,,20,,,,,,,,,117.99,55,,
3033-1,Basic,,1998,Special Value Blue Tub,,1200,,20,,,5.70201E+12,,,,,,77.52,,,
3600-2,Make and Create,,2005,Build Your Own House,,1200,19.99,,,,,,41.1,19.1,27.7,,,,1/10/2005,30/06/2006
3759-1,Basic,,1998,Anniversary Tub,,1200,,,,,,,,,,,,,,
4411-1,Creator,Bucket,2004,Blue Strata XXL,,1200,,,,,,,37.6,25.2,27.3,,93.92,26.68,1/9/2004,31/12/2004
11016-1,Classic,Bricks,2021,Creative Building Bricks,,1200,44.99,49.99,69.99,49.99,5.70202E+12,,26,38,14,,39.06,,1/1/2021,31/12/2022
10177-1,Advanced models,Aircraft,2006,Boeing 787 Dreamliner,,1197,49.99,79.99,,,5.70201E+12,,57.6,28.8,9.6,,623.27,306.77,1/9/2006,31/12/2008
21045-1,Architecture,Landmark Series,2019,Trafalgar Square,,1197,79.99,79.99,99.99,79.99,5.70202E+12,,35.4,19.1,9.1,,73.72,65.22,1/6/2019,31/12/2021
10275-1,Icons,Winter Village Collection,2020,Elf Club House,4,1197,79.99,99.99,139.99,89.99,5.70202E+12,,47.6,28,7.2,1.324,96.65,84.73,1/10/2020,31/12/2022
31132-1,Creator,3 in 1,2022,Viking Ship and the Midgard Serpent,4,1192,104.99,119.99,149.99,119.99,5.70202E+12,,48,37.8,7.1,,92.53,83,1/6/2022,31/12/2023
9335-1,Education,,2010,Space & Airport Set,,1189,,,,,5.70201E+12,,43.8,32.3,17.4,2.42,133.81,,1/1/2010,31/12/2020
21017-1,Architecture,Architect Series,2013,Imperial Hotel,,1188,99.99,129.99,159.99,119.99,5.70201E+12,,38.2,26.2,7.1,,169.87,128.17,1/3/2013,31/12/2015
70835-1,The LEGO Movie 2,,2019,Rex's Rexplorer!,2,1187,109.99,119.99,159.99,119.99,5.70202E+12,6.73419E+11,48,37.8,9.4,1.66,64.95,42.49,1/1/2019,31/12/2019
70323-1,Nexo Knights,Season 2,2016,Jestro's Volcano Lair,10,1186,109.99,119.99,149.99,119.99,,6.73419E+11,58.1914,37.7952,8.7122,2.109203,153.31,102.25,1/6/2016,31/07/2017
2000451-1,Education,,2016,The Panama Canal,1,1184,,249.99,,,,6.73419E+11,,,,,389.36,213.56,,
8295-1,Technic,,2008,Telescopic Handler,,1182,61.65,89.99,,,5.70201E+12,6.73419E+11,57.6,38.4,7.2,1.91,179.98,71.11,1/8/2008,31/12/2009
9303-1,Education,,2001,Airport Set,4,1180,88.75,89,,,,,,,,,76.25,,,
70654-1,Ninjago,Hunted,2018,Dieselnaut,7,1179,89.99,109.99,139.99,99.99,5.70202E+12,6.73419E+11,48,37.8,9.4,1.75,159.3,95.93,1/6/2018,31/12/2019
70677-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,Land Bounty,9,1178,119.99,129.99,159.99,126.71,5.70202E+12,,58.2,37.8,8.7,,177.22,121.99,1/6/2019,31/12/2020
75253-1,Star Wars,Boost,2019,Droid Commander,,1177,179.99,199.99,249.99,194.95,5.70202E+12,,54,28.2,9.1,,167.22,131.8,15/07/2019,31/12/2020
76389-1,Harry Potter,Chamber of Secrets,2021,Hogwarts Chamber of Secrets,11,1176,129.99,149.99,199.99,149.99,5.70202E+12,6.73419E+11,58.2,37.8,8.7,,116.46,92.45,1/6/2021,31/12/2024
75021-1,Star Wars,Episode II,2013,Republic Gunship,7,1175,109.99,119.99,149.99,,5.70201E+12,6.73419E+11,48,37.8,9.4,2.01,473.25,291.28,1/6/2013,31/12/2014
4954-1,Creator,3 in 1,2007,Model Town House,,1174,44.99,69.99,,,5.70201E+12,6.73419E+11,57.6,38.4,9.6,2.33,213.05,179.48,1/7/2007,31/12/2008
2507-1,Ninjago,Pilot Season,2011,Fire Temple,7,1174,91.99,119.99,154.99,,5.70201E+12,6.73419E+11,58.19,37.8,8.71,2.07,229.85,136.03,1/6/2011,31/12/2012
10289-1,Icons,Botanical Collection,2021,Bird of Paradise,,1173,89.99,99.99,139.99,99.99,5.70202E+12,,28.2,48,9.1,1.363,89.99,75.26,1/6/2021,31/12/2024
5591-1,Model Team,,1994,Mach II Red Bird Rig,,1172,,110,,,5.70201E+12,,,,,,522.72,166.41,,
71722-1,Ninjago,Master of the Mountain,2020,Skull Sorcerer's Dungeons,8,1171,89.99,99.99,139.99,99.99,5.70202E+12,6.73419E+11,48,37.8,9.4,1.905,108.37,88.79,1/6/2020,31/12/2021
80022-1,Monkie Kid,Season 2,2021,Spider Queen's Arachnoid Base,6,1170,89.99,119.99,159.99,99.99,5.70202E+12,,48,37.8,9.4,,107.55,,1/3/2021,31/12/2022
8039-1,Star Wars,The Clone Wars,2009,Venator-Class Republic Attack Cruiser,5,1170,102.99,119.99,149.99,,5.70201E+12,6.73419E+11,58.2,37.8,8.7,1.95,526.16,234.77,1/6/2009,31/12/2011
42081-1,Technic,,2018,Volvo Concept Wheel Loader ZEUX,,1167,109.99,139.99,179.99,119.99,5.70202E+12,6.73419E+11,58.2,37.8,11.8,2.42,111.74,81.55,1/8/2018,31/12/2019
10252-1,Creator Expert,Vehicles,2016,Volkswagen Beetle,,1167,74.99,99.99,129.99,87.72,5.70202E+12,,48,28,7,,124.11,105.91,1/8/2016,31/12/2020
10263-1,Creator Expert,Winter Village Collection,2018,Winter Village Fire Station,8,1166,84.99,99.99,129.99,87.72,5.70202E+12,,47.7,28,8.7,1.365,121.74,85.71,1/10/2018,31/12/2020
42053-1,Technic,,2016,Volvo EW160E,,1166,74.99,119.99,149.99,89.99,5.70202E+12,6.73419E+11,35.4,37.8,9.4,,169.74,105.05,1/8/2016,31/12/2017
21336-1,Ideas,Licensed,2022,The Office,15,1164,104.99,119.99,149.99,119.99,5.70202E+12,,48,28.2,9.1,,136.13,,1/10/2022,31/12/2024
42112-1,Technic,,2020,Concrete Mixer Truck,,1163,89.99,119.99,159.99,99.99,5.70202E+12,6.73419E+11,48,28.2,11.8,2.08,91.37,78.76,1/8/2020,31/12/2021
71756-1,Ninjago,Seabound,2021,Hydro Bounty,10,1159,129.99,139.99,179.99,149.99,5.70202E+12,6.73419E+11,58.2,37.8,8.7,,104.6,80,1/6/2021,31/07/2023
10248-1,Creator Expert,Vehicles,2015,Ferrari F40,,1158,74.99,99.99,119.99,89.99,5.70202E+12,,48,28.2,7.4,,282.75,193.44,1/8/2015,31/12/2017
75919-1,Jurassic World,,2015,Indominus Rex Breakout,4,1156,99.99,129.99,149.99,119.99,5.70202E+12,6.73419E+11,58.1914,37.7952,8.7122,2.35172,351.27,208.36,1/5/2015,31/12/2016
8635-1,Agents,,2008,Mobile Command Center,7,1154,73.39,89.99,,,,6.73419E+11,65.2,38.4,9.6,2.57,271.95,102.77,1/6/2008,31/12/2009
41714-1,Friends,Heartlake City,2022,Andrea's Theatre School,4,1154,89.99,99.99,129.99,99.99,5.70202E+12,,58.2,37.8,8.7,,79.3,,1/6/2022,31/12/2023
41806-1,Dots,Miscellaneous,2023,Ultimate Party Kit,,1154,44.99,49.99,64.99,49.99,,,28.2,26.2,7.6,,,,1/1/2023,31/12/2024
60336-1,City,Trains,2022,Freight Train,6,1153,159.99,199.99,249.99,179.99,5.70202E+12,,57.8,47.8,12,2.764,143.71,,1/6/2022,31/12/2024
71391-1,Super Mario,Expansion Set,2021,Bowser's Airship,3,1152,89.99,99.99,139.99,99.99,5.70202E+12,,48,37.8,9.4,,72.19,56,10/7/2021,31/12/2022
42066-1,Technic,,2017,Air Race Jet,,1151,109.99,159.99,189.99,119.99,5.70202E+12,6.73419E+11,58.2,37.8,8.7,,133.39,90.05,1/1/2017,31/07/2018
45100-1,Education,,2013,StoryStarter Core Set,,1147,,115.95,,,,6.73419E+11,,,,2.35,140.63,,,
8098-1,Star Wars,The Clone Wars,2010,Clone Turbo Tank,6,1141,102.99,119.99,159.99,,5.70201E+12,6.73419E+11,58.19,37.8,8.71,1.88,348.59,181.82,1/6/2010,31/07/2012
4002016-1,Miscellaneous,Employee gift,2016,50 Years on Track,,1141,,,,,,6.73419E+11,,,,,167.22,149.95,,
42000-1,Technic,,2013,Grand Prix Racer,,1141,79.99,129.99,149.99,,5.70201E+12,,47.5,37.7,9.1,1.97,244.27,104.23,1/3/2013,31/12/2014
70317-1,Nexo Knights,Season 1,2016,The Fortrex,7,1140,84.99,99.99,129.99,99.99,,6.73419E+11,48.006,37.7952,9.398,1.864263,142.96,68.71,1/1/2016,31/12/2017
70627-1,Ninjago,The Hands of Time,2017,Dragon's Forge,6,1137,74.99,79.99,99.99,79.99,5.70202E+12,6.73419E+11,48.006,37.7952,7.0612,1.623859,175.88,114.66,1/1/2017,31/12/2017
75054-1,Star Wars,Episode V,2014,AT-AT,5,1137,109.99,109.99,129.99,119.99,5.70202E+12,6.73419E+11,48.006,37.7952,7.0612,1.67,187.52,106.22,1/6/2014,31/12/2015
10178-1,Star Wars,Episode V,2007,Motorized Walking AT-AT,4,1137,89.99,129.99,159.99,,,6.73419E+11,57.6,38.4,7.2,,455.74,238.17,1/10/2007,31/12/2010
42152-1,Technic,,2023,Firefighter Aircraft,,1134,94.99,99.99,129.99,109.99,,,,,,,,,,
9627-1,Dacta,Technic,1994,Technology Group Activity Set,,1132,,,,,,,,,,,,,,
21331-1,Ideas,Licensed,2022,Sonic the Hedgehog - Green Hill Zone,1,1125,69.99,79.99,99.99,79.99,5.70202E+12,,38.2,26.2,7.1,,58.73,42.14,1/1/2022,31/12/2023
41130-1,Friends,Amusement Park,2016,Amusement Park Roller Coaster,4,1124,99.99,99.99,129.99,99.99,,6.73419E+11,48.006,37.7952,9.398,1.769009,146.27,57.96,1/6/2016,31/07/2018
8043-1,Technic,,2010,Motorized Excavator,,1123,142.99,199.99,249.99,,5.70201E+12,6.73419E+11,58.19,48.01,9.09,2.62,537.77,201.38,1/8/2010,31/12/2012
21136-1,Minecraft,Minifig-scale,2017,The Ocean Monument,2,1122,119.99,119.99,139.99,119.99,,6.73419E+11,48.006,37.7952,9.398,1.855191,215.88,165.74,1/8/2017,31/12/2018
41058-1,Friends,Heartlake City,2014,Heartlake Shopping Mall,4,1120,79.99,109.99,129.99,99.99,5.70202E+12,6.73419E+11,48.006,37.7952,9.398,1.89,118,40,1/6/2014,31/12/2015
8109-1,Technic,,2011,Flatbed Truck,,1115,71.99,99.99,129.99,,5.70201E+12,,48,37.8,7.1,,352.64,118.97,1/8/2011,31/12/2012
41703-1,Friends,Tree Houses,2022,Friendship Tree House,4,1114,69.99,79.99,99.99,79.99,5.70202E+12,,48,37.8,7.1,,64.26,55.75,1/1/2022,31/12/2023
7170-1,Samsonite,Educational,1979,Educational Refill Pack,,1112,,,,,,,,,,,99.98,,,
3185-1,Friends,Horseback Riding,2012,Summer Riding Camp,4,1112,89.99,99.99,124.99,,5.70201E+12,6.73419E+11,58.2,37.8,8.7,,203.33,60.32,1/6/2012,31/07/2014
80011-1,Monkie Kid,A Hero is Born,2020,Red Son's Inferno Truck,7,1111,89.99,119.99,149.99,99.99,5.70202E+12,,48,37.8,9.4,,129.69,,16/05/2020,31/12/2021
9649-1,Education,,2002,Technology Resource Set,,1110,56.51,55,,,,,,,,,224.45,,,
7795-1,Make and Create,,2006,Deluxe Starter Set,3,1110,29.99,,,,5.70201E+12,,41.1,19.1,27.7,,98.18,47.5,1/1/2006,31/12/2006
75187-1,Star Wars,The Last Jedi,2017,BB-8,1,1106,84.99,99.99,129.99,99.99,5.70202E+12,6.73419E+11,35.4076,37.7952,9.398,1.342632,139.45,94.49,1/9/2017,31/07/2019
10298-1,Icons,Vehicles,2022,Vespa 125,,1106,89.99,99.99,129.99,99.99,5.70202E+12,,48,28.2,9.1,,80.08,63.64,1/3/2022,31/12/2025
71765-1,Ninjago,Core,2022,Ninja Ultra Combo Mech,7,1104,89.99,89.99,119.99,99.99,5.70202E+12,,37.8,35.4,9.4,,70.72,,1/1/2022,31/12/2023
8466-1,Technic,,2001,4x4 Off-Roader,,1102,79.99,119.99,,,,,59.2,43.2,7.2,,700,149.56,1/9/2001,31/12/2003
9515-1,Star Wars,The Clone Wars,2012,Malevolence,6,1101,99.99,119.99,149.99,,5.70201E+12,6.73419E+11,58.2,37.8,8.7,1.66,353.1,164.09,1/6/2012,31/12/2013
11021-1,Classic,90 Years of Play,2022,90 Years of Play,,1100,44.99,49.99,64.99,49.99,5.70202E+12,,48,28.2,7.4,,37.58,,1/5/2022,31/12/2023
8063-1,Technic,,2009,Tractor with Trailer,,1100,63.59,99.99,,,5.70201E+12,6.73419E+11,58.2,37.8,8.7,,188.88,148.79,1/9/2009,31/12/2009
4002018-1,Miscellaneous,Employee Gift,2018,Santa and Reindeer,3,1099,,,,,,,,,,,159.56,109.14,,
8297-1,Technic,,2008,Off-Roader,,1097,99.99,119.99,,,5.70201E+12,6.73419E+11,65.2,38.4,9.6,2.3,195.28,92.83,1/8/2008,31/12/2010
4195-1,Pirates of the Caribbean,On Stranger Tides,2011,Queen Anne's Revenge,10,1097,102.99,119.99,149.99,,5.70201E+12,6.73419E+11,58.19,37.8,8.71,1.97,735.21,346.09,1/5/2011,31/12/2012
41961-1,Dots,Miscellaneous,2022,Designer Toolkit - Patterns,,1096,59.99,64.99,84.99,64.99,5.70202E+12,,48,28.2,6.1,,,,1/6/2022,31/12/2023
42068-1,Technic,,2017,Airport Rescue Vehicle,,1094,79.99,99.99,129.99,89.99,5.70202E+12,6.73419E+11,48,28.2,9.1,,171.55,68.9,1/8/2017,31/12/2018
70595-1,Ninjago,Day of the Departed,2016,Ultra Stealth Raider,7,1093,84.99,99.99,129.99,89.99,,6.73419E+11,48.006,37.7952,9.398,1.782617,207.45,95.05,1/6/2016,31/12/2017
76057-1,Marvel Super Heroes,Spider-Man,2016,Spider-Man: Web Warriors Ultimate Bridge Battle,7,1092,99.99,99.99,129.99,99.99,5.70202E+12,6.73419E+11,48.006,37.7952,9.398,1.791688,204.07,168.25,1/6/2016,31/12/2017
10266-1,Creator Expert,Space,2019,NASA Apollo 11 Lunar Lander,2,1087,89.99,99.99,139.99,99.99,5.70202E+12,6.73419E+11,48,28.2,9.1,,87.17,72.89,1/6/2019,31/12/2023
10194-1,Advanced models,Trains,2009,Emerald Night,3,1085,69.99,99.99,129.99,,,6.73419E+11,54,28.2,7.9,,645.19,464.74,1/4/2009,31/12/2011
10186-1,Star Wars,Ultimate Collector Series,2008,General Grievous,,1085,63.59,89.99,,,5.70201E+12,,38.4,48,7.2,,452.12,212.48,1/5/2008,31/12/2008
76408-1,Harry Potter,Order of the Phoenix,2022,12 Grimmauld Place,9,1083,114.99,119.99,149.99,129.99,5.70202E+12,,48,37.8,7.1,,102.18,,1/6/2022,31/12/2023
75337-1,Star Wars,Episode III,2022,AT-TE Walker,9,1082,119.99,139.99,179.99,139.99,5.70202E+12,,48,37.8,7.1,,131.48,87.6,1/8/2022,31/07/2024
9334-1,Education,,2010,Animals Set,,1081,,,,,,,,,,,77.61,,,
SAMSONITE-2,Samsonite,Basic set,1971,1081 Piece Basic Set,,1081,,12.99,,,,,,,,,,,,
10183-1,Factory,Trains,2007,Hobby Trains,,1080,,100,,,5.70201E+12,6.73419E+11,,,,,426.67,285.53,,
6542-1,Town,Boats,1991,Launch & Load Seaport,7,1080,,,,,,42884065423,,,,,1565.02,185.2,,
8485-1,Technic,,1995,Control Centre II,,1079,,219,,,,,,,,,719.9,204.61,,
