Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Value new (USD),Value used (USD),Launch date,Exit date
75128-1,Star Wars,MicroFighters,2016,TIE Advanced Prototype Microfighter,1,93,8.99,9.99,12.99,9.99,,6.73419E+11,14.097,12.192,4.5974,0.1043262,13.25,6.88,1/1/2016,31/12/2017
71346-1,Dimensions,Team Pack,2017,The Powerpuff Girls Team Pack,2,93,29.99,24.99,24.99,24.99,5.05189E+12,,21.5,21,4.9,,15.6,9.73,12/9/2017,30/04/2018
215-1,Building Set with People,,1977,Red Indians,,93,,,,,,,,,,,89.34,49.71,,
5857-1,Belville,,2003,Safran's Amazing Bazaar,1,93,17.99,20,,,5.70201E+12,,28.8,28.8,9.6,,60,38.14,1/3/2003,31/12/2004
814-2,Building Set with People,,1975,Tractor,,93,2.35,,,,,,,,,,,41.36,,
70103-1,Legends of Chima,Speedorz,2013,Boulder Bowling,1,93,9.99,14.99,19.99,,5.70201E+12,6.73419E+11,25.5,23,3.6,0.23,16.15,5.15,1/1/2013,28/02/2013
3683-1,Fabuland,,1988,Amusement Park,4,93,,,,,,,,,,,579.9,79.55,,
6737-1,Island Xtreme Stunts,,2002,Wake Rider,2,93,9.99,13,,,5.70201E+12,,19.2,19.2,6,,20,9.76,1/7/2002,31/12/2003
70311-1,Nexo Knights,Season 1,2016,Chaos Catapult,2,93,7.99,9.99,12.99,9.99,5.70202E+12,6.73419E+11,14.097,12.192,4.5974,0.12712,10.64,5.68,1/1/2016,31/12/2016
76068-1,DC Comics Super Heroes,Mighty Micros,2017,Mighty Micros: Superman vs. Bizarro,2,93,8.99,9.99,12.99,9.99,,6.73419E+11,12.192,14.097,4.5974,0.09525432,15,8.28,1/1/2017,31/12/2017
76147-1,Marvel Super Heroes,Spider-Man,2020,Vulture's Trucker Robbery,3,93,19.99,19.99,24.99,24.36,5.70202E+12,6.73419E+11,26.2,19.1,6.1,0.3,23.47,24.36,1/1/2020,31/12/2020
60248-1,City,Fire,2020,Fire Helicopter Response,3,93,17.99,29.99,39.99,19.99,5.70202E+12,6.73419E+11,16.1,14,7.2,0.25,10.35,13.85,1/1/2020,31/12/2021
41387-1,Friends,Heart Box,2019,Olivia's Summer Heart Box,2,93,7.99,7.99,9.99,7.99,5.70202E+12,,20,19,7,,5.5,,1/6/2019,31/12/2019
8287-1,Technic,,2006,Motor Box,,93,24.99,29.99,,,5.70201E+12,6.73419E+11,24,14.4,7.2,0.3,81.95,61.46,,
41002-1,Friends,Sports,2013,Emma's Karate Class,1,93,9.99,9.99,12.99,,5.70201E+12,6.73419E+11,15.7,14.1,4.5,0.13,8.53,4.08,1/1/2013,31/12/2013
6875-1,Space,Futuron,1988,Hovercraft,1,93,,,,,,42884068752,,,,,204.57,18.68,,
1-Aug,Basic,,1978,"Basic Building Set, 3+",,93,,5.5,,,,,,,,,,,,
8468-1,Racers,Drome Racers,2002,Power Crusher,,92,4.99,8,,,,1.10112E+11,19.2,14.4,6,,13.99,4.01,1/1/2002,31/12/2003
6040-1,Castle,Lion Knights,1984,Blacksmith Shop,2,92,,9.25,,,,,,,,,396.2,52.61,,
75193-1,Star Wars,MicroFighters,2018,Millennium Falcon Microfighter,1,92,8.99,9.99,12.99,9.99,5.70202E+12,6.73419E+11,14.1,12.2,4.6,0.113,13.96,9.23,1/1/2018,31/07/2019
DALLAS-1,Promotional,LEGO brand store opening set,2009,{Skull},,92,,0,,,,,,,,,,,,
275-1,Homemaker,,1974,Table and chairs,,92,0.5,,,,,,,,,,,18.12,,
13-2,Minitalia,,1973,Large pre-school set,,92,,,,,,,,,,,,,,
